phenotype	pheweb_phenotype_name	pheweb_phenotype_category	sample_size
krt_cbc_retic_abs_sqrt_transformed	absolute_reticulocyte	Complete Blood Count (CBC)	922
krt_cbc_total_wbcs_sqrt_transformed	total_white_blood_cells	Complete Blood Count (CBC)	923
krt_cp_alb_glob_ratio_value_ln_transformed	albumin_globulin_ratio	Blood Chemistry Panel	953
krt_cp_albumin_value_ln_transformed	albumin	Blood Chemistry Panel	953
krt_cp_alkp_value_ln_transformed	alkaline_phosphatase	Blood Chemistry Panel	953
krt_cp_alt_value_ln_transformed	alanine_aminotransferase	Blood Chemistry Panel	953
krt_cp_amylase_value_ln_transformed	amylase	Blood Chemistry Panel	953
krt_cp_bilirubin_total_value_ln_transformed	total_bilirubin	Blood Chemistry Panel	953
krt_cp_bun_value_ln_transformed	blood_urea_nitrogen	Blood Chemistry Panel	953
krt_cp_chloride_value_ln_transformed	chloride	Blood Chemistry Panel	953
krt_cp_cholesterol_value_ln_transformed	cholesterol	Blood Chemistry Panel	953
krt_cp_creatinine_value_ln_transformed	creatinine	Blood Chemistry Panel	953
krt_cp_globulins_value_ln_transformed	globulins	Blood Chemistry Panel	953
krt_cp_magnesium_value_ln_transformed	magnesium	Blood Chemistry Panel	953
krt_cp_potassium_value_ln_transformed	potassium	Blood Chemistry Panel	953
krt_cp_sodium_value_ln_transformed	sodium	Blood Chemistry Panel	953
krt_cp_sp_ratio_value_ln_transformed	sodium_potassium_ratio	Blood Chemistry Panel	953
krt_cp_total_protein_value_ln_transformed	total_protein	Blood Chemistry Panel	953
1-3-Methylhistidine	1-3-Methylhistidine	Amino acids and peptides	924
1-Methylnicotinamide	1-Methylnicotinamide	Pyridine alkaloids	924
2-Aminoadipate	2-Aminoadipate	Amino acids and peptides	924
2-Hydroxyglutarate	2-Hydroxyglutarate	Fatty acids	924
2-Hydroxyisobutyrate-2-Hydroxybutyrate	2-Hydroxyisobutyrate-2-Hydroxybutyrate	Fatty acids	924
3-Hydroxyisovaleric-Acid	3-Hydroxyisovaleric-Acid	Fatty acids	924
3-Indoxyl-Sulfate	3-Indoxyl-Sulfate	Tryptophan alkaloids	924
3-Methyl-3-Hydroxyglutaric-Acid	3-Methyl-3-Hydroxyglutaric-Acid	Fatty acids	924
3HBA	3HBA	Fatty acids	924
5-Aminovaleric-Acid	5-Aminovaleric-Acid	Fatty acids	924
5-Methylcytidine	5-Methylcytidine	Pyrimidines	924
7-Methylguanine	7-Methylguanine	Purines	924
Acetylcarnitine	Acetylcarnitine	Fatty esters	924
Adenosine	Adenosine	Purines	924
Adenylosuccinate	Adenylosuccinate	Purines	924
Agmatine	Agmatine	Ornithine alkaloids	924
Alanine	Alanine	Amino acids and peptides	924
Allantoin	Allantoin	Cyclic ureas	924
Alpha-Ketoglutaric-Acid	Alpha-Ketoglutaric-Acid	TCA acids	924
alpha-Tocopherol	alpha-Tocopherol	Quinones and hydroquinones	924
Anserine	Anserine	Amino acids and peptides	924
Arachidonate	Arachidonate	Fatty acids	924
Arginine	Arginine	Amino acids and peptides	924
Asparagine	Asparagine	Amino acids and peptides	924
Aspartic-Acid	Aspartic-Acid	Amino acids and peptides	924
Betaine	Betaine	Amino acids and peptides	924
Cadaverine	Cadaverine	Fatty amines	924
Carnitine	Carnitine	Carnitines	924
Carnosine	Carnosine	Amino acids and peptides	924
Cholesteryl-Sulfate	Cholesteryl-Sulfate	Sterols	924
Choline	Choline	Cholines	924
Citrulline	Citrulline	Amino acids and peptides	924
Creatine	Creatine	Amino acids and peptides	924
Creatinine	Creatinine	Azoles	924
Cystathionine	Cystathionine	Amino acids and peptides	924
Cystine	Cystine	Amino acids and peptides	924
Cytidine	Cytidine	Pyrimidines	924
D-Leucic-Acid	D-Leucic-Acid	Fatty acids	924
Deoxycarnitine	Deoxycarnitine	Fatty esters	924
Dimethylarginine-A-SDMA	Dimethylarginine-A-SDMA	Amino acids and peptides	924
Dimethylglycine	Dimethylglycine	Amino acids and peptides	924
Epinephrine	Epinephrine	Tyrosine alkaloids	924
Ethanolamine	Ethanolamine	Amines	924
Ethylmalonic-acid	Ethylmalonic-acid	Fatty acids	924
FAD	FAD	Flavins	924
G6P	G6P	Monosaccharides	924
gamma-Aminobutyrate	gamma-Aminobutyrate	Fatty acids	924
Glucoronate	Glucoronate	Monosaccharides	924
Glucose	Glucose	Monosaccharides	924
Glutamic-acid	Glutamic-acid	Amino acids and peptides	924
Glutamine	Glutamine	Amino acids and peptides	924
Glutaric-Acid	Glutaric-Acid	Fatty acids	924
Glutarylcarnitine	Glutarylcarnitine	Fatty esters	924
Glycerol-3-P	Glycerol-3-P	Organic phosphoric acids	924
Glycerophosphocholine	Glycerophosphocholine	Organic phosphoric acids	924
Glycine	Glycine	Amino acids and peptides	924
Guanidinoacetate	Guanidinoacetate	Amino acids and peptides	924
Histidine	Histidine	Amino acids and peptides	924
Homoarginine	Homoarginine	Amino acids and peptides	924
Homocitrulline	Homocitrulline	Amino acids and peptides	924
Hydroxyproline	Hydroxyproline	Amino acids and peptides	924
Hypotaurine	Hypotaurine	Sulfinic acids	924
Hypoxanthine	Hypoxanthine	Purines	924
Imidazole-Propionate	Imidazole-Propionate	Histidine alkaloids	924
Indole-3-Acetic-Acid	Indole-3-Acetic-Acid	Tryptophan alkaloids	924
Indole-3-Lactate	Indole-3-Lactate	Tryptophan alkaloids	924
Indole-3-Propionate	Indole-3-Propionate	Tryptophan alkaloids	924
iso-Leucine--allo-isoLeucine	iso-Leucine--allo-isoLeucine	Unclassified metabolite	924
isoValerylcarnitine	isoValerylcarnitine	Fatty esters	924
Kynurenic-Acid	Kynurenic-Acid	Anthranilic acid alkaloids	924
L-Kynurenine	L-Kynurenine	Amino acids and peptides	924
Lactate	Lactate	ShortUnclassified metabolitechain acids	924
Leucine--D-Norleucine	Leucine--D-Norleucine	Amino acids and peptides	924
Linoleic-Acid	Linoleic-Acid	Fatty acids	924
Linolenic-Acid	Linolenic-Acid	Fatty acids	924
Lysine	Lysine	Amino acids and peptides	924
Margaric-Acid	Margaric-Acid	Fatty acids	924
Methionine	Methionine	Amino acids and peptides	924
Methionine-Sulfoxide	Methionine-Sulfoxide	Amino acids and peptides	924
N-Ac-Alanine	N-Ac-Alanine	Amino acids and peptides	924
N-Ac-Glutamate	N-Ac-Glutamate	Amino acids and peptides	924
N-Ac-L-Glutamine	N-Ac-L-Glutamine	Amino acids and peptides	924
N-Ac-Phenylalanine	N-Ac-Phenylalanine	Amino acids and peptides	924
